,City ID,City Name,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
560,2336237.0,jega,12.2175,4.3792,82.36,52.0,43.0,8.86
561,1539209.0,gubkinskiy,64.434,76.5026,33.82,98.0,100.0,9.46
564,245669.0,adre,13.4667,22.2,78.04,11.0,73.0,10.92
567,3461641.0,iaciara,-14.0958,-46.6317,69.4,89.0,65.0,0.76
569,5554072.0,juneau,58.3019,-134.4197,37.63,75.0,90.0,4.61
570,1127547.0,sangin,32.0728,64.8359,85.41,16.0,80.0,0.76
572,3372760.0,praia da vitoria,38.7333,-27.0667,56.7,94.0,75.0,8.41
573,1269507.0,jaisalmer,26.9147,70.9181,95.31,20.0,31.0,8.3
578,3546791.0,moa,20.6569,-74.9403,76.28,81.0,43.0,13.85
580,3530259.0,copalillo,18.0333,-99.1167,82.99,43.0,52.0,3.94
588,5961417.0,gimli,50.6336,-96.9907,30.2,93.0,87.0,4.61
590,108410.0,riyadh,24.6877,46.7219,82.2,23.0,75.0,9.22
599,1280037.0,shache,38.4167,77.2406,79.12,8.0,0.0,1.63
600,8010683.0,porto santo,33.072,-16.3415,57.2,82.0,20.0,8.05
601,3449479.0,santo antonio do sudoeste,-26.0736,-53.7253,48.22,54.0,0.0,4.03
605,863061.0,usinsk,65.9939,57.5281,30.34,69.0,95.0,9.4
606,362973.0,abnub,27.2696,31.1511,79.2,10.0,0.0,3.44
608,2109528.0,buala,-8.145,159.5921,82.0,77.0,99.0,3.76
610,934479.0,grand gaube,-20.0064,57.6608,75.99,88.0,80.0,10.0
